20201222,姑苏,沧浪新城,世茂运河城瀚河苑,39699元/m2,87套在售二手房
20201222,姑苏,沧浪新城,锦沧名苑,38926元/m2,73套在售二手房
20201222,姑苏,沧浪新城,友联一村,24109元/m2,89套在售二手房
20201222,姑苏,沧浪新城,四季晶华,38797元/m2,82套在售二手房
20201222,姑苏,沧浪新城,天辰花园,40468元/m2,69套在售二手房
20201222,姑苏,沧浪新城,世茂运河城和茂苑二期,39647元/m2,97套在售二手房
20201222,姑苏,沧浪新城,友联二村,23488元/m2,50套在售二手房
20201222,姑苏,沧浪新城,福星新城,37521元/m2,61套在售二手房
20201222,姑苏,沧浪新城,博雅苑,39511元/m2,31套在售二手房
20201222,姑苏,沧浪新城,世茂运河城尚运苑,39711元/m2,60套在售二手房
20201222,姑苏,沧浪新城,世茂运河城和茂苑一期,37891元/m2,33套在售二手房
20201222,姑苏,沧浪新城,万佳花苑,32002元/m2,21套在售二手房
20201222,姑苏,沧浪新城,世茂运河城苏和苑,33636元/m2,37套在售二手房
20201222,姑苏,沧浪新城,苏州世茂广场（姑苏）,14712元/m2,99套在售二手房
20201222,姑苏,沧浪新城,世茂运河城世家苑,39997元/m2,35套在售二手房
20201222,姑苏,沧浪新城,福星小区,24606元/m2,20套在售二手房
20201222,姑苏,沧浪新城,官庄前花园,36129元/m2,44套在售二手房
20201222,姑苏,沧浪新城,城西教师新村,36614元/m2,23套在售二手房
20201222,姑苏,沧浪新城,水香六村,20484元/m2,42套在售二手房
20201222,姑苏,沧浪新城,怡景万家,33574元/m2,35套在售二手房
20201222,姑苏,沧浪新城,苏公馆,37732元/m2,6套在售二手房
20201222,姑苏,沧浪新城,名鎏公馆,19751元/m2,16套在售二手房
20201222,姑苏,沧浪新城,长欣苑南区,20102元/m2,7套在售二手房
20201222,姑苏,沧浪新城,长欣苑,25747元/m2,8套在售二手房
20201222,姑苏,沧浪新城,承信小区,21445元/m2,11套在售二手房
20201222,姑苏,沧浪新城,四季商业广场,10570元/m2,4套在售二手房
20201222,姑苏,沧浪新城,南环西路601号,17076元/m2,6套在售二手房
20201222,姑苏,沧浪新城,南环西路2015号,20427元/m2,4套在售二手房
20201222,姑苏,沧浪新城,和园（姑苏）,暂无,0套在售二手房
20201222,姑苏,沧浪新城,南环西路2039号,暂无,0套在售二手房
20201222,姑苏,沧浪新城,宝带西路散盘,暂无,0套在售二手房
20201222,姑苏,沧浪新城,亿象城,39816元/m2,1套在售二手房
20201222,姑苏,沧浪新城,南环西路2017号院,17942元/m2,2套在售二手房
20201222,姑苏,沧浪新城,世茂生活广场,暂无,0套在售二手房
20201222,姑苏,沧浪新城,世茂南广场,暂无,0套在售二手房
